page,status,score,dimension,dimension_score,findings,word_count,h1_count,h2_count,faq_count,internal_links,cta_links,jsonld_types
caipirinha-com-vista-rio.html,PASS,95,AEO,92,FAQ visual sem FAQPage JSON-LD.,641,1,7,14,13,8,AggregateRating | BarOrPub | BreadcrumbList | GeoCoordinates | ListItem | LocalBusiness | LocationFeatureSpecification | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | WebPage | WebSite
caipirinha-com-vista-rio.html,PASS,95,AIO,85,Sem cobertura literal das keywords prioritárias AIO. | Sem VideoObject em página de experiência/produto.,641,1,7,14,13,8,AggregateRating | BarOrPub | BreadcrumbList | GeoCoordinates | ListItem | LocalBusiness | LocationFeatureSpecification | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | WebPage | WebSite
caipirinha-com-vista-rio.html,PASS,95,SXO,100,,641,1,7,14,13,8,AggregateRating | BarOrPub | BreadcrumbList | GeoCoordinates | ListItem | LocalBusiness | LocationFeatureSpecification | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | WebPage | WebSite
caipirinha-com-vista-rio.html,PASS,95,Marketing,100,,641,1,7,14,13,8,AggregateRating | BarOrPub | BreadcrumbList | GeoCoordinates | ListItem | LocalBusiness | LocationFeatureSpecification | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | WebPage | WebSite
caipirinha-com-vista-rio.html,PASS,95,R2D2,100,,641,1,7,14,13,8,AggregateRating | BarOrPub | BreadcrumbList | GeoCoordinates | ListItem | LocalBusiness | LocationFeatureSpecification | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | WebPage | WebSite
caipirinha-com-vista-rio.html,PASS,95,Schema,80,Múltiplos aggregateRating: 2.,641,1,7,14,13,8,AggregateRating | BarOrPub | BreadcrumbList | GeoCoordinates | ListItem | LocalBusiness | LocationFeatureSpecification | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | WebPage | WebSite
caipirinha-com-vista-rio.html,PASS,95,Performance,100,,641,1,7,14,13,8,AggregateRating | BarOrPub | BreadcrumbList | GeoCoordinates | ListItem | LocalBusiness | LocationFeatureSpecification | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | WebPage | WebSite
cardapio.html,PASS,96,Design,90,Risco de texto creme em fundo claro. | Opacity baixa detectada; validar texto real.,1271,1,12,35,43,27,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | Menu | MenuItem | MenuSection | Offer | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | SpeakableSpecification | WebPage | WebSite
cardapio.html,PASS,96,UX,100,,1271,1,12,35,43,27,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | Menu | MenuItem | MenuSection | Offer | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | SpeakableSpecification | WebPage | WebSite
cardapio.html,PASS,96,Copydesk,100,,1271,1,12,35,43,27,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | Menu | MenuItem | MenuSection | Offer | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | SpeakableSpecification | WebPage | WebSite
cardapio.html,PASS,96,SEO,100,,1271,1,12,35,43,27,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | Menu | MenuItem | MenuSection | Offer | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | SpeakableSpecification | WebPage | WebSite
cardapio.html,PASS,96,GEO,100,,1271,1,12,35,43,27,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | Menu | MenuItem | MenuSection | Offer | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | SpeakableSpecification | WebPage | WebSite
cardapio.html,PASS,96,AEO,92,FAQ visual sem FAQPage JSON-LD.,1271,1,12,35,43,27,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | Menu | MenuItem | MenuSection | Offer | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | SpeakableSpecification | WebPage | WebSite
cardapio.html,PASS,96,AIO,95,Sem VideoObject em página de experiência/produto.,1271,1,12,35,43,27,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | Menu | MenuItem | MenuSection | Offer | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | SpeakableSpecification | WebPage | WebSite
cardapio.html,PASS,96,SXO,100,,1271,1,12,35,43,27,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | Menu | MenuItem | MenuSection | Offer | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | SpeakableSpecification | WebPage | WebSite
cardapio.html,PASS,96,Marketing,100,,1271,1,12,35,43,27,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | Menu | MenuItem | MenuSection | Offer | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | SpeakableSpecification | WebPage | WebSite
cardapio.html,PASS,96,R2D2,100,,1271,1,12,35,43,27,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | Menu | MenuItem | MenuSection | Offer | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | SpeakableSpecification | WebPage | WebSite
cardapio.html,PASS,96,Schema,80,Múltiplos aggregateRating: 2.,1271,1,12,35,43,27,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | Menu | MenuItem | MenuSection | Offer | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | SpeakableSpecification | WebPage | WebSite
cardapio.html,PASS,96,Performance,100,,1271,1,12,35,43,27,AggregateRating | BreadcrumbList | GeoCoordinates | ListItem | LocationFeatureSpecification | Menu | MenuItem | MenuSection | Offer | OpeningHoursSpecification | PostalAddress | ReserveAction | Restaurant | SpeakableSpecification | WebPage | WebSite
como-chegar.html,PASS,98,Design,90,Risco de texto creme em fundo claro. | Opacity baixa detectada; validar texto real.,934,1,6,22,10,7,Answer | FAQPage | GeoCoordinates | OpeningHoursSpecification | PostalAddress | Question | Restaurant | WebPage
como-chegar.html,PASS,98,UX,97,Sem skip-nav detectado.,934,1,6,22,10,7,Answer | FAQPage | GeoCoordinates | OpeningHoursSpecification | PostalAddress | Question | Restaurant | WebPage
como-chegar.html,PASS,98,Copydesk,100,,934,1,6,22,10,7,Answer | FAQPage | GeoCoordinates | OpeningHoursSpecification | PostalAddress | Question | Restaurant | WebPage
como-chegar.html,PASS,98,SEO,100,,934,1,6,22,10,7,Answer | FAQPage | GeoCoordinates | OpeningHoursSpecification | PostalAddress | Question | Restaurant | WebPage
